2023-11-22 at 15:07:19 | INFO | Verificando headers
2023-11-22 at 15:07:20 | INFO | Enviando requisição POST
2023-11-22 at 15:07:20 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:20 | INFO | Buscando dados de 692720767
2023-11-22 at 15:07:20 | INFO | Loop: 22/481
2023-11-22 at 15:07:20 | INFO | Verificando headers
2023-11-22 at 15:07:21 | INFO | Enviando requisição POST
2023-11-22 at 15:07:21 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:21 | INFO | Buscando dados de 680629622
2023-11-22 at 15:07:21 | INFO | Loop: 23/481
2023-11-22 at 15:07:21 | INFO | Verificando headers
2023-11-22 at 15:07:21 | INFO | Enviando requisição POST
2023-11-22 at 15:07:21 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:21 | INFO | Buscando dados de 680629593
2023-11-22 at 15:07:21 | INFO | Loop: 24/481
2023-11-22 at 15:07:21 | INFO | Verificando headers
2023-11-22 at 15:07:22 | INFO | Enviando requisição POST
2023-11-22 at 15:07:22 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:22 | INFO | Buscando dados de 680629663
2023-11-22 at 15:07:22 | INFO | Loop: 25/481
2023-11-22 at 15:07:22 | INFO | Verificando headers
2023-11-22 at 15:07:23 | INFO | Enviando requisição POST
2023-11-22 at 15:07:23 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:23 | INFO | Buscando dados de 680629606
2023-11-22 at 15:07:23 | INFO | Loop: 26/481
2023-11-22 at 15:07:23 | INFO | Verificando headers
2023-11-22 at 15:07:24 | INFO | Enviando requisição POST
2023-11-22 at 15:07:24 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:24 | INFO | Buscando dados de 699653695
2023-11-22 at 15:07:24 | INFO | Loop: 27/481
2023-11-22 at 15:07:24 | INFO | Verificando headers
2023-11-22 at 15:07:25 | INFO | Enviando requisição POST
2023-11-22 at 15:07:25 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:25 | INFO | Buscando dados de 691746606
2023-11-22 at 15:07:25 | INFO | Loop: 28/481
2023-11-22 at 15:07:25 | INFO | Verificando headers
2023-11-22 at 15:07:26 | INFO | Enviando requisição POST
2023-11-22 at 15:07:26 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:26 | INFO | Buscando dados de 726533720
2023-11-22 at 15:07:26 | INFO | Loop: 29/481
2023-11-22 at 15:07:26 | INFO | Verificando headers
2023-11-22 at 15:07:27 | INFO | Enviando requisição POST
2023-11-22 at 15:07:27 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:27 | INFO | Buscando dados de 687923572
2023-11-22 at 15:07:27 | INFO | Loop: 30/481
2023-11-22 at 15:07:27 | INFO | Verificando headers
2023-11-22 at 15:07:27 | INFO | Enviando requisição POST
2023-11-22 at 15:07:27 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:27 | INFO | Buscando dados de 680027823
2023-11-22 at 15:07:27 | INFO | Loop: 31/481
2023-11-22 at 15:07:27 | INFO | Verificando headers
2023-11-22 at 15:07:28 | INFO | Enviando requisição POST
2023-11-22 at 15:07:28 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:28 | INFO | Buscando dados de 680027771
2023-11-22 at 15:07:28 | INFO | Loop: 32/481
2023-11-22 at 15:07:28 | INFO | Verificando headers
2023-11-22 at 15:07:29 | INFO | Enviando requisição POST
2023-11-22 at 15:07:29 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:29 | INFO | Buscando dados de 558021377
2023-11-22 at 15:07:29 | INFO | Loop: 33/481
2023-11-22 at 15:07:29 | INFO | Verificando headers
2023-11-22 at 15:07:30 | INFO | Enviando requisição POST
2023-11-22 at 15:07:30 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:30 | INFO | Buscando dados de 680434949
2023-11-22 at 15:07:30 | INFO | Loop: 34/481
2023-11-22 at 15:07:30 | INFO | Verificando headers
2023-11-22 at 15:07:31 | INFO | Enviando requisição POST
2023-11-22 at 15:07:31 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:31 | INFO | Buscando dados de 614617098
2023-11-22 at 15:07:31 | INFO | Loop: 35/481
2023-11-22 at 15:07:31 | INFO | Verificando headers
2023-11-22 at 15:07:32 | INFO | Enviando requisição POST
2023-11-22 at 15:07:32 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:32 | INFO | Buscando dados de 614617599
2023-11-22 at 15:07:32 | INFO | Loop: 36/481
2023-11-22 at 15:07:32 | INFO | Verificando headers
2023-11-22 at 15:07:33 | INFO | Enviando requisição POST
2023-11-22 at 15:07:33 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:33 | INFO | Buscando dados de 614623949
2023-11-22 at 15:07:33 | INFO | Loop: 37/481
2023-11-22 at 15:07:33 | INFO | Verificando headers
2023-11-22 at 15:07:33 | INFO | Enviando requisição POST
2023-11-22 at 15:07:33 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:33 | INFO | Buscando dados de 614625414
2023-11-22 at 15:07:33 | INFO | Loop: 38/481
2023-11-22 at 15:07:33 | INFO | Verificando headers
2023-11-22 at 15:07:34 | INFO | Enviando requisição POST
2023-11-22 at 15:07:34 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:34 | INFO | Buscando dados de 699652418
2023-11-22 at 15:07:34 | INFO | Loop: 39/481
2023-11-22 at 15:07:34 | INFO | Verificando headers
2023-11-22 at 15:07:35 | INFO | Enviando requisição POST
2023-11-22 at 15:07:35 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:35 | INFO | Buscando dados de 644909197
2023-11-22 at 15:07:35 | INFO | Loop: 40/481
2023-11-22 at 15:07:35 | INFO | Verificando headers
2023-11-22 at 15:07:36 | INFO | Enviando requisição POST
2023-11-22 at 15:07:36 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:36 | INFO | Buscando dados de 736162483
2023-11-22 at 15:07:36 | INFO | Loop: 41/481
2023-11-22 at 15:07:36 | INFO | Verificando headers
2023-11-22 at 15:07:36 | INFO | Enviando requisição POST
2023-11-22 at 15:07:36 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:36 | INFO | Buscando dados de 660367769
2023-11-22 at 15:07:36 | INFO | Loop: 42/481
2023-11-22 at 15:07:36 | INFO | Verificando headers
2023-11-22 at 15:07:37 | INFO | Enviando requisição POST
2023-11-22 at 15:07:37 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:37 | INFO | Buscando dados de 724202743
2023-11-22 at 15:07:37 | INFO | Loop: 43/481
2023-11-22 at 15:07:37 | INFO | Verificando headers
2023-11-22 at 15:07:38 | INFO | Enviando requisição POST
2023-11-22 at 15:07:38 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:07:38 | INFO | Buscando dados de 736162438
2023-11-22 at 15:07:38 | INFO | Loop: 44/481
2023-11-22 at 15:07:38 | INFO | Verificando headers
2023-11-22 at 15:08:20 | INFO | Buscando IDs de Produtos na API Tiny
2023-11-22 at 15:08:21 | INFO | Criando DataFrame com IDs de produtos na tabela 'tiny_fulfillment'
2023-11-22 at 15:08:21 | INFO | Buscando dados de 735947207
2023-11-22 at 15:08:21 | INFO | Loop: 1/481
2023-11-22 at 15:08:21 | INFO | Verificando headers
2023-11-22 at 15:08:22 | INFO | Enviando requisição POST
2023-11-22 at 15:08:22 | INFO | Requisição realizada com sucesso!
2023-11-22 at 15:08:22 | INFO | Buscando dados de 747848159
2023-11-22 at 15:08:22 | INFO | Loop: 2/481
2023-11-22 at 15:08:22 | INFO | Verificando headers
2023-11-22 at 15:08:23 | INFO | Enviando requisição POST
2023-11-22 at 15:08:23 | INFO | Requisição realizada com sucesso!
